光谱名称,粒子种类,拟合区间(nm),未去除旁峰的区间(nm),选线数据,RMSE,RMSE/nm,真实强度,拟合强度,强度误差,强度误差比例(%)
070171_95_random.csv,TbII,350.780000-351.220000,350.780000-351.770000,TbII 350.914600 nm (target); TiII 350.983574 nm; TiII 351.084002 nm,27.08828646920764,61.564287430009735,30.83,230.31877682582086,199.48877682582088,647.0605800383422
070171_95_random.csv,TbII,369.690000-370.350000,369.690000-370.350000,FeI 369.742522 nm; FeI 370.108586 nm; TbII 370.285600 nm (target),494.4350407291656,749.144001104768,32.58,0.0,32.58,100.0
070171_95_random.csv,TbII,384.470000-385.300000,384.470000-385.300000,FeI 384.680010 nm; TbII 384.874000 nm (target); FeI 384.996631 nm,686.7245844889934,827.3790174566344,39.82,5995.047235533234,5955.227235533234,14955.367241419472
070171_95_random.csv,TbII,386.940000-387.550000,386.940000-387.550000,FeI 387.250102 nm; TiI 387.320180 nm; TbII 387.417200 nm (target),280.6112590526428,460.0184574633386,66.26,0.0,66.26,100.0
07105_95_random.csv,PrII,417.590000-418.400000,417.590000-418.400000,FeIII 417.741000 nm; PrII 417.939100 nm (target); FeI 418.175449 nm,18.602859108832046,22.966492726953078,4374.0,4353.329827037108,20.67017296289214,0.472569112091727
07105_95_random.csv,PrII,421.500000-423.100000,421.500000-423.100000,PrII 422.293100 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,1165.670544470888,728.5440902942946,3538.0,3604.0649999997763,66.06499999977632,1.8672979084165158
07105_95_random.csv,PrII,421.500000-423.100000,421.500000-423.100000,PrII 422.534600 nm (target); CaI 422.672760 nm; FeI 422.742640 nm,835.0641057315767,521.915066082228,4587.0,8951.92382286168,4364.92382286168,95.15857472992543
07105_95_random.csv,PrII,406.030000-406.680000,406.030000-406.680000,FeIII 406.173000 nm; PrII 406.280400 nm (target); FeI 406.359365 nm,52.764233603433574,81.17574400527816,2690.0,2119.212813167758,570.7871868322418,21.21885452907962
07105_95_random.csv,PrII,409.810000-410.440000,408.900000-410.440000,CaI 409.852820 nm; CaI 409.857510 nm; PrII 410.071700 nm (target),48.543213237483236,77.05271942457712,4349.0,4354.507035904106,5.507035904105578,0.12662763633261848
07105_95_random.csv,TmII,345.860000-346.400000,345.860000-346.400000,FeI 345.991410 nm; TmII 346.220000 nm (target),166.72146583610498,308.74345525206706,443.0,918.2786450750677,475.27864507506774,107.28637586344645
07105_95_random.csv,TmII,312.910000-313.440000,312.910000-313.440000,NaII 312.937600 nm; TmII 313.126000 nm (target); FeI 313.251786 nm,48.08586285490386,90.72804312246478,610.7,978.9154540442636,368.21545404426354,60.29399935226192
07105_95_random.csv,TmII,342.070000-343.040000,342.070000-343.040000,FeI 342.428418 nm; TmII 342.508000 nm (target); FeI 342.711930 nm,14.098343454574449,14.534374695437167,317.6,307.7416607599177,9.85833924008233,3.1040110957438065
07105_95_random.csv,TmII,343.570000-344.270000,343.570000-344.880000,FeI 344.060547 nm; FeI 344.098835 nm; TmII 344.150000 nm (target),23.374060511404984,33.391515016293376,197.9,868.8303509749635,670.9303509749635,339.02493732944083
07106_95_random.csv,SmII,359.020000-359.800000,359.020000-359.800000,SiIII 359.046500 nm; SmII 359.260300 nm (target); FeI 359.463208 nm,3.6227269534634656,4.644521735209396,570.3,566.1758205593403,4.1241794406596455,0.7231596424091962
07106_95_random.csv,SmII,360.400000-361.340000,360.400000-361.340000,FeI 360.667900 nm; FeI 360.885895 nm; SmII 360.949100 nm (target),27.291943048602715,29.033981966598702,500.8,1011.992855203843,511.19285520384295,102.07525063974498
