Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
Ca I ,321.517,1.10E+07,46 303.649 ,2,,,,,,,,,,,,,,,
Ca I ,321.534,5.10E+06,46 301.973 ,1,,,,,,,,,,,,,,,
Ca I ,322.59,1.60E+07,46 306.059 ,3,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,322.615,4.00E+06,46 303.649 ,2,,,,,,,,,,,,,,,
Ca I , ,4.20E+05,46 301.973 ,1,,,,,,,,,,,,,,,
Ca III ,323.2734, ,278 621.01  ,1,,,,,,,,,,,,,,,
Ca I , ,9.40E+05,45 738.684 ,1,,,,,,,,,,,,,,,
Ca I ,327.467,3.00E+06,45 738.684 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,328.607,5.30E+06,45 738.684 ,1,,,,,,,,,,,,,,,
Ca II ,330.802, , ,  ,,,,,,,,,,,,,,,
Ca II ,331.651, , ,  ,,,,,,,,,,,,,,,
Ca XII , ,4.86E+02,30 041     , 1/2 ,,,,,,,,,,,,,,,
Ca I ,334.451,1.51E+07,45 049.073 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,334.704, , ,  ,,,,,,,,,,,,,,,
Ca I ,335.021,1.78E+07,45 050.419 ,2,,,,,,,,,,,,,,,
Ca I ,335.036,1.11E+07,45 049.073 ,1,,,,,,,,,,,,,,,
Ca I ,336.192,2.23E+07,45 052.374 ,3,,,,,,,,,,,,,,,
Ca I ,336.214,6.50E+06,45 050.419 ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I , ,5.90E+05,45 049.073 ,1,,,,,,,,,,,,,,,
Ca III ,336.7786,4.50E+06,277 380.86  ,2,,,,,,,,,,,,,,,
Ca III ,337.2671,1.12E+08,272 188.70  ,1,,,,,,,,,,,,,,,
Ca II ,345.266, , ,  ,,,,,,,,,,,,,,,
Ca XIII , ,1.11E-02,28 888     ,0,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,346.187, , ,  ,,,,,,,,,,,,,,,
Ca I ,346.848,1.30E+06,43 980.767 ,1,,,,,,,,,,,,,,,
Ca I ,347.476,4.60E+06,43 980.767 ,1,,,,,,,,,,,,,,,
Ca II ,348.561, , ,  ,,,,,,,,,,,,,,,
Ca I ,348.76,7.80E+06,43 980.767 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,349.516, , ,  ,,,,,,,,,,,,,,,
Ca III ,353.777,3.50E+07,272 188.70  ,1,,,,,,,,,,,,,,,
Ca III ,358.3659, ,350 900.04  ,2,,,,,,,,,,,,,,,
Ca I ,362.411,2.12E+07,42 743.002 ,1,,,,,,,,,,,,,,,
Ca I ,363.075,2.97E+07,42 744.716 ,2,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,363.097,1.53E+07,42 743.002 ,1,,,,,,,,,,,,,,,
