Ion, Observed , Aki, Ek ,J
Fe II ,209.16431,1.00E+06,108 239.375  , 7/2 
Fe III ,209.1672,3.80E+08,178 655.54   ,0
 , , , , 
Fe II ,209.20126,1.80E+07,108 775.110  , 11/2 
Fe II ,209.22401, ,110 609.548  , 3/2 
Fe II ,209.26026,2.40E+07,108 929.031  , 9/2 
Fe III ,209.2956,2.10E+08,138 187.96   ,3
Fe II ,209.30896,1.70E+06,108 648.712  , 13/2 
 , , , , 
Fe III ,209.3513, ,124 854.11   ,3
Fe II ,209.36251,2.10E+07,78 137.404  , 7/2 
Fe I ,209.36846, ,48 163.446  ,2
Fe II ,209.3924, ,83 868.450  , 5/2 
Fe III ,209.4232, ,132 105.12   ,2
 , , , , 
Fe II ,209.46335,5.00E+06,66 612.659  , 3/2 
Fe II ,209.49799,3.10E+06,64 087.408  , 5/2 
Fe III ,209.4989, ,118 443.27   ,3
Fe III ,209.5091, ,138 187.96   ,3
Fe III ,209.5148, ,118 443.27   ,3
 , , , , 
Fe III ,209.5336,7.00E+06,132 080.04   ,3
Fe I ,209.54639, ,48 122.928  ,3
Fe III ,209.5604, ,138 187.96   ,3
Fe II ,209.56691, ,108 086.672  , 1/2 
Fe III ,209.5697,2.70E+07,134 549.01   ,3
 , , , , 
Fe II ,209.59337, ,107 966.642  , 9/2 
Fe II ,209.63925,1.00E+07,110 008.310  , 9/2 
Fe II ,209.64174, ,108 130.542  , 5/2 
Fe III ,209.6438,2.50E+07,117 521.99   ,4
Fe II ,209.6546, ,61 156.827  , 7/2 
 , , , , 
Fe II ,209.6954,9.00E+06,92 602.711  , 7/2 
Fe II ,209.70234,1.07E+06,64 040.891  , 7/2 
Fe II ,209.71919,3.80E+06,108 709.424  , 7/2 
Fe II ,209.74049,2.70E+06,73 091.630  , 9/2 
Fe II ,209.7495, ,68 000.785  , 9/2 
 , , , , 
Fe III ,209.7497,4.75E+08,118 355.20   ,6
Fe II ,209.75496,5.00E+06,61 332.753  , 3/2 
Fe III ,209.7711,4.19E+08,118 350.42   ,4
Fe III ,209.7879,2.30E+07,135 554.39   ,4
Fe I ,209.81196, ,48 350.606  ,1
 , , , , 
Fe II ,209.81622, ,108 086.672  , 1/2 
Fe II ,209.8374, ,108 630.427  , 11/2 
Fe III ,209.883,1.60E+07,138 103.16   ,4
Fe I ,209.89388, ,48 516.138  ,1
Fe II ,209.9143, ,114 212.377  , 7/2 
 , , , , 
Fe III ,209.9233, ,118 350.42   ,4
Fe II ,209.92547,6.40E+06,108 577.597  , 9/2 
Fe II ,209.9342, ,61 093.406  , 5/2 
Fe III ,209.9348, ,138 103.16   ,4
Fe II ,209.9428,9.00E+05,73 969.761  , 11/2 
 , , , , 
Fe II ,209.9491,6.20E+06,83 868.450  , 5/2 
Fe III ,209.9554,1.50E+07,141 002.97   ,4
Fe I ,209.96659, ,60 172.464  ,3
Fe III ,209.9712,2.60E+06,141 002.97   ,4
Fe I ,209.9904, ,47 606.114  ,5
 , , , , 
Fe III ,209.9941, ,131 035.14   ,7
Fe I ,210.01462, ,48 304.643  ,2
Fe II ,210.01658,1.50E+07,109 683.303  , 11/2 
Fe I ,210.0614, ,47 590.048  ,4
Fe II ,210.0697,5.70E+06,108 577.597  , 9/2 
 , , , , 
Fe I ,210.07977, ,48 289.871  ,1
Fe III ,210.098, ,138 054.60   ,5
Fe II ,210.10269,9.00E+06,108 387.934  , 11/2 
Fe II ,210.10974,5.40E+07,109 901.523  , 7/2 
Fe II ,210.12203,1.30E+07,108 463.918  , 13/2 
 , , , , 
Fe II ,210.2048, ,86 416.370  , 7/2 
Fe II ,210.22671,9.00E+06,108 709.424  , 7/2 
Fe I ,210.23536, ,47 966.585  ,3
Fe II ,210.24629,1.00E+07,108 537.623  , 7/2 
Fe II ,210.27321,5.10E+07,109 625.216  , 9/2 
 , , , , 
Fe V , ,5.90E+00,93 832.5    ,2
Fe I ,210.29104, ,48 516.138  ,1
Fe III ,210.2989, ,136 200.07   ,3
Fe I ,210.30529, ,48 238.847  ,2
Fe I ,210.30607, ,60 095.599  ,4
 , , , , 
Fe III ,210.366, ,118 246.74   ,3
Fe III ,210.366, ,136 185.16   ,5
Fe III ,210.3818, ,118 246.74   ,3
Fe I ,210.3972, ,47 929.997  ,4
Fe II ,210.40346,6.00E+06,107 176.093  , 1/2 
 , , , , 
Fe III ,210.4066, ,137 209.90   ,4
Fe II ,210.4066,3.80E+06,92 426.967  , 9/2 
Fe II ,210.42401,1.40E+07,108 133.473  , 13/2 
Fe II ,210.44056, ,70 314.624  , 9/2 
Fe II ,210.44222,1.00E+07,108 391.507  , 9/2 
 , , , , 
Fe II ,210.45083, ,107 947.255  , 3/2 
Fe II ,210.45845,1.70E+07,108 337.798  , 15/2 
Fe III ,210.5023, ,136 185.16   ,5
Fe III ,210.5023,7.60E+07,141 002.97   ,4
Fe II ,210.52334,5.10E+06,108 642.450  , 5/2 
 , , , , 
Fe II ,210.55965, ,110 167.303  , 7/2 
Fe II ,210.5698,1.90E+06,109 449.894  , 3/2 
Fe II ,210.5791, ,79 284.919  , 5/2 
Fe II ,210.60977, ,110 428.305  , 5/2 
Fe I ,210.626, ,48 350.606  ,1
 , , , , 
Fe III ,210.6362,3.60E+07,144 501.78   ,2
Fe I ,210.63947, ,48 163.446  ,2
Fe II ,210.64339, ,107 728.935  , 5/2 
Fe II ,210.64962,1.20E+07,108 613.977  , 5/2 
Fe I ,210.6693, ,47 452.717  ,4
 , , , , 
Fe II ,210.71425, ,107 826.940  , 3/2 
Fe III ,210.7327,4.40E+08,118 163.70   ,2
Fe II ,210.7553,1.30E+07,73 603.537  , 11/2 
Fe II ,210.7748,2.70E+06,92 358.625  , 3/2 
Fe II ,210.7796, ,61 332.753  , 3/2 
 , , , , 
Fe II ,210.81368, ,61 093.406  , 5/2 
Fe I ,210.8137, ,47 420.228  ,5
Fe I ,210.81937, ,48 122.928  ,3
Fe III ,210.822, ,134 265.49   ,2
Fe I ,210.83027, ,48 304.643  ,2
 , , , , 
Fe II ,210.8668, ,109 474.060  , 9/2 
Fe III ,210.8679,3.70E+07,132 080.04   ,3
Fe II ,210.8882, ,113 867.242  , 11/2 
Fe II ,210.8882, ,109 486.551  , 11/2 
Fe I ,210.8959, ,48 289.871  ,1
 , , , , 
Fe II ,210.89982, ,109 449.894  , 3/2 
Fe II ,210.91032,1.90E+07,73 751.276  , 9/2 
Fe II ,210.91032,9.00E+05,108 387.934  , 11/2 
Fe II ,210.94758,5.80E+06,109 683.303  , 11/2 
Fe II ,210.98528, ,107 826.940  , 3/2 
 , , , , 
Fe II ,210.98916, ,108 537.623  , 7/2 
Fe I ,211.02353, ,54 301.340  ,4
Fe II ,211.03095,3.00E+07,95 046.177  , 5/2 
Fe II ,211.0441, ,61 041.734  , 5/2 
Fe II ,211.0484, ,92 282.470  , 7/2 
 , , , , 
Fe II ,211.05426, ,107 750.540  , 1/2 
Fe II ,211.07342,5.90E+07,66 248.647  , 1/2 
Fe II ,211.1136,1.30E+06,92 282.470  , 7/2 
Fe I ,211.12322, ,48 238.847  ,2
Fe II ,211.15307,1.10E+07,108 181.564  , 11/2 
 , , , , 
Fe III ,211.1797,3.20E+06,140 750.86   ,2
Fe III ,211.1797, ,135 239.84   ,4
Fe II ,211.1798, ,73 143.346  , 7/2 
Fe III ,211.2285,1.30E+06,130 756.91   ,6
Fe III ,211.2499, ,139 846.19   ,6
 , , , , 
Fe I ,211.29687, ,48 289.871  ,1
Fe I ,211.30871, ,54 237.415  ,4
Fe III ,211.3347,5.20E+07,139 827.18   ,4
Fe II ,211.3677,5.20E+06,108 133.473  , 13/2 
Fe II ,211.3859, ,109 463.670  , 7/2 
 , , , , 
Fe II ,211.3859,4.00E+06,74 606.864  , 5/2 
Fe III ,211.3894,7.00E+06,137 763.58   ,5
Fe III ,211.3894,1.40E+08,144 332.23   ,4
Fe II ,211.38955, ,107 736.321  , 3/2 
Fe II ,211.4088,1.00E+07,92 216.391  , 3/2 
 , , , , 
Fe III ,211.4342, ,121 008.91   ,3
Fe II ,211.4462, ,113 867.242  , 11/2 
Fe I ,211.45995, ,48 163.446  ,2
Fe I ,211.51699, ,47 966.585  ,3
Fe II ,211.5439,5.30E+06,92 171.690  , 9/2 
 , , , , 
Fe II ,211.55156, ,107 525.187  , 5/2 
Fe II ,211.5701, ,73 603.537  , 11/2 
Fe II ,211.5701, ,97 326.503  , 3/2 
Fe II ,211.59182, ,108 133.473  , 13/2 
Fe II ,211.63507, ,116 338.649  , 5/2 
 , , , , 
Fe II ,211.64815, ,116 335.731  , 3/2 
Fe III ,211.659, ,117 068.82   ,3
Fe III ,211.659,3.60E+07,117 068.82   ,3
Fe II ,211.699122,1.90E+07,72 650.698  , 9/2 
Fe II ,211.7488,1.10E+06,73 016.184  , 7/2 
 , , , , 
Fe I ,211.7798, ,60 172.464  ,3
Fe II ,211.81974,3.50E+06,68 000.785  , 9/2 
Fe III ,211.8418, ,116 937.86   ,1
Fe II ,211.85159,5.30E+06,108 775.110  , 11/2 
Fe III ,211.857,3.50E+07,116 975.21   ,2
 , , , , 
Fe II ,211.90479,4.20E+06,67 516.328  , 11/2 
Fe I ,211.91365, ,47 590.048  ,4
Fe II ,211.95863, ,107 605.127  , 3/2 
Fe II ,212.0224, ,109 811.940  , 9/2 
Fe III ,212.0241,1.00E+07,116 937.86   ,1
 , , , , 
Fe III ,212.077, ,116 975.21   ,2
Fe III ,212.077, ,137 561.18   ,1
Fe III ,212.077, ,116 975.21   ,2
Fe II ,212.1059, ,107 572.279  , 5/2 
Fe II ,212.1101, ,61 035.285  , 1/2 
 , , , , 
Fe II ,212.1253, ,107 572.279  , 5/2 
Fe II ,212.18325, ,107 498.510  , 3/2 
Fe I ,212.18687, ,59 089.628  ,3
Fe II ,212.2024, ,73 091.630  , 9/2 
Fe III ,212.2024, ,116 898.44   ,2
 , , , , 
Fe I ,212.21784, ,47 106.484  ,4
Fe II ,212.232, ,110 065.766  , 5/2 
Fe II ,212.24544,4.80E+05,62 945.045  , 7/2 
Fe I ,212.2799, ,47 092.712  ,3
Fe I ,212.2957, ,54 017.581  ,4
 , , , , 
Fe I ,212.31244, ,54 013.752  ,5
Fe II ,212.3167, ,107 529.849  , 7/2 
Fe II ,212.31848, ,107 525.187  , 5/2 
Fe II ,212.33784, ,107 525.187  , 5/2 
Fe III ,212.3593,7.00E+07,131 445.12   ,2
 , , , , 
Fe II ,212.3679, ,73 054.913  , 5/2 
Fe II ,212.38159, ,107 454.552  , 1/2 
Fe III ,212.4078, ,140 453.14   ,3
Fe II ,212.40863,2.40E+07,108 105.938  , 3/2 
Fe II ,212.42072,1.20E+06,108 648.712  , 13/2 
 , , , , 
Fe III ,212.4228, ,116 898.44   ,2
Fe III ,212.4228,2.80E+06,140 453.14   ,3
Fe III ,212.4228, ,137 544.70   ,2
Fe II ,212.4389, ,107 498.510  , 3/2 
Fe I ,212.45014, ,53 983.293  ,5
 , , , , 
Fe II ,212.47239, ,110 609.548  , 3/2 
Fe III ,212.4979,2.40E+06,144 085.98   ,4
Fe III ,212.4979, ,137 528.06   ,4
Fe II ,212.51681,2.40E+07,95 079.342  , 7/2 
Fe III ,212.5173, ,140 453.14   ,3
 , , , , 
Fe I ,212.5324, ,47 452.717  ,4
Fe II ,212.5324, ,116 338.649  , 5/2 
Fe II ,212.5428, ,73 016.184  , 7/2 
Fe II ,212.5696, ,107 430.742  , 3/2 
Fe II ,212.5725, ,107 298.265  , 5/2 
 , , , , 
Fe II ,212.58572,8.00E+06,108 537.623  , 7/2 
Fe II ,212.62103, ,69 427.014  , 1/2 
Fe I ,212.62105, ,47 017.188  ,3
Fe II ,212.63764, ,107 454.552  , 1/2 
Fe II ,212.64203,2.60E+07,108 105.938  , 3/2 
 , , , , 
Fe I ,212.66093, ,47 008.371  ,5
Fe I ,212.68164, ,47 419.687  ,2
Fe II ,212.7009,1.40E+06,73 054.913  , 5/2 
Fe II ,212.74298,4.50E+06,108 337.798  , 15/2 
Fe I ,212.7474, ,47 693.239  ,3
 , , , , 
Fe II ,212.7603, ,74 606.864  , 5/2 
Fe II ,212.7603, ,108 712.415  , 5/2 
Fe III ,212.7637, ,139 509.44   ,5
Fe I ,212.78644, ,54 357.405  ,3
Fe I ,212.7969, ,54 706.387  ,2
 , , , , 
Fe II ,212.79719,1.90E+07,77 742.736  , 5/2 
Fe II ,212.8375, ,69 606.567  , 7/2 
Fe II ,212.86575, ,110 428.305  , 5/2 
Fe II ,212.8768, ,73 016.184  , 7/2 
Fe II ,212.89588,4.30E+06,109 901.523  , 7/2 
 , , , , 
Fe III ,212.9241,2.00E+06,137 422.88   ,3
Fe III ,212.9685,2.40E+07,140 453.14   ,3
Fe II ,212.98737,3.70E+06,108 463.918  , 13/2 
Fe II ,213.02564,3.90E+06,60 402.333  , 5/2 
Fe II ,213.03099, ,107 197.107  , 7/2 
 , , , , 
Fe II ,213.03244, ,107 371.685  , 5/2 
Fe I ,213.04075, ,54 301.340  ,4
Fe I ,213.04404, ,53 852.114  ,4
Fe II ,213.05493,1.40E+07,73 091.630  , 9/2 
Fe III ,213.0831,2.50E+06,136 612.84   ,4
 , , , , 
Fe I ,213.09658, ,54 289.034  ,3
Fe II ,213.17325, ,107 165.760  , 7/2 
Fe II ,213.17803, ,110 167.303  , 7/2 
Fe II ,213.18187, ,107 163.871  , 5/2 
Fe III ,213.1953,2.60E+06,135 554.39   ,4
 , , , , 
Fe I ,213.20171,7.60E+06,46 889.142  ,4
Fe III ,213.2092, ,135 582.12   ,6
Fe II ,213.2482, ,78 690.860  , 5/2 
Fe II ,213.2482, ,108 391.507  , 9/2 
Fe II ,213.25371,6.00E+06,74 498.093  , 3/2 
 , , , , 
Fe II ,213.25822,1.20E+07,108 463.918  , 13/2 
Fe II ,213.30295, ,109 811.940  , 9/2 
Fe II ,213.31848,4.30E+06,108 929.031  , 9/2 
Fe I ,213.33134, ,54 237.415  ,4
Fe III ,213.3361, ,135 554.39   ,4
 , , , , 
Fe II ,213.39534,2.00E+06,72 651.914  , 7/2 
Fe II ,213.40093,3.40E+06,72 650.698  , 9/2 
Fe II ,213.4238, ,69 650.481  , 5/2 
Fe II ,213.4478, ,85 495.366  , 5/2 
Fe II ,213.4576,9.00E+05,72 261.742  , 11/2 
 , , , , 
Fe III ,213.4864,5.70E+07,130 256.42   ,5
Fe I ,213.50994, ,54 807.250  ,1
Fe II ,213.5275, ,62 662.252  , 11/2 
Fe III ,213.5525,3.20E+06,135 735.43   ,5
Fe II ,213.56139,1.50E+07,108 337.798  , 15/2 
 , , , , 
Fe II ,213.58818,1.10E+07,108 391.507  , 9/2 
Fe I ,213.59605, ,54 530.653  ,2
Fe II ,213.60464,6.20E+06,108 387.934  , 11/2 
Fe II ,213.61786, ,112 876.116  , 7/2 
Fe III ,213.6362, ,123 750.63   ,3
 , , , , 
Fe II ,213.6509,1.60E+07,73 143.346  , 7/2 
Fe I ,213.6941, ,47 197.010  ,2
Fe III ,213.7011,4.30E+06,116 475.56   ,3
Fe III ,213.7367,2.30E+07,116 467.59   ,4
Fe II ,213.77454, ,47 626.110  , 1/2 
 , , , , 
Fe I ,213.80026, ,54 134.655  ,3
Fe II ,213.80482,3.20E+06,67 273.833  , 3/2 
Fe II ,213.80704,3.20E+06,109 049.611  , 13/2 
Fe II ,213.84752, ,107 017.932  , 5/2 
Fe I ,213.85924,2.80E+06,46 744.993  ,3
 , , , , 
Fe II ,213.8957, ,72 524.561  , 3/2 
Fe II ,213.93859,3.20E+06,109 389.879  , 11/2 
Fe III ,213.9464,2.20E+06,137 209.90   ,4
Fe II ,213.9478, ,85 184.773  , 9/2 
Fe II ,213.96415, ,47 389.809  , 3/2 
 , , , , 
Fe I ,213.9698, ,46 720.842  ,4
Fe II ,213.97126, ,107 165.760  , 7/2 
Fe I , , ,47 136.084  ,2
Fe II ,213.9801, ,107 163.871  , 5/2 
Fe I ,213.99344, ,47 419.687  ,2
 , , , , 
Fe II ,214.01706, ,67 516.328  , 11/2 
Fe II ,214.02894,1.70E+07,108 859.487  , 3/2 
Fe III ,214.0429, ,136 612.84   ,4
Fe II ,214.0582, ,72 130.375  , 9/2 
Fe II ,214.05994, ,112 397.186  , 9/2 
 , , , , 
Fe II ,214.06522,6.00E+06,94 739.136  , 3/2 
Fe I ,214.10858, ,47 106.484  ,4
Fe II ,214.145,2.80E+07,108 927.126  , 1/2 
Fe I ,214.14717, ,53 610.412  ,4
Fe I ,214.17181, ,47 092.712  ,3
 , , , , 
Fe II ,214.1785,5.00E+06,78 487.144  , 3/2 
Fe II ,214.2016,9.00E+05,72 651.914  , 7/2 
Fe II ,214.2073, ,72 650.698  , 9/2 
Fe II ,214.2073, ,108 181.564  , 11/2 
Fe I ,214.2146, ,47 555.610  ,1
 , , , , 
Fe II ,214.23232,3.80E+06,107 065.951  , 3/2 
Fe II ,214.24275,1.50E+07,94 700.415  , 5/2 
Fe II ,214.2498, ,107 044.220  , 3/2 
Fe III ,214.2535, ,135 582.12   ,6
Fe I ,214.25662, ,53 586.510  ,5
 , , , , 
Fe II ,214.27661,1.20E+07,108 181.564  , 11/2 
Fe I ,214.28316, ,54 807.250  ,1
Fe VII ,214.299,6.90E+00,67 076.9    ,0
Fe II ,214.2991, ,47 626.110  , 1/2 
Fe III ,214.3048, ,123 750.63   ,3
 , , , , 
Fe II ,214.31039,7.20E+06,108 804.711  , 7/2 
Fe II ,214.3313, ,72 429.675  , 1/2 
Fe I ,214.33692, ,54 017.581  ,4
Fe III ,214.3473,3.60E+07,116 475.56   ,3
Fe II ,214.35, ,72 619.499  , 5/2 
 , , , , 
Fe I ,214.355, ,54 013.752  ,5
Fe II ,214.35733, ,85 495.366  , 5/2 
Fe III ,214.3761,3.90E+06,116 380.24   ,1
Fe III ,214.383, ,116 419.72   ,2
Fe III ,214.383, ,116 467.59   ,4
 , , , , 
Fe I ,214.38964, ,54 357.405  ,3
Fe II ,214.4168, ,113 236.296  , 5/2 
Fe III ,214.4284,3.00E+06,135 316.64   ,5
Fe III ,214.4284,2.30E+06,123 697.15   ,2
Fe III ,214.4284,2.10E+07,116 316.85   ,5
 , , , , 
Fe II ,214.4367, ,69 650.481  , 5/2 
Fe I ,214.44485, ,54 603.140  ,1
Fe I ,214.45681, ,54 342.779  ,2
Fe III ,214.4745, ,130 040.60   ,7
Fe II ,214.49441,6.10E+06,108 929.031  , 9/2 
 , , , , 
Fe II ,214.4977,6.40E+06,108 133.473  , 13/2 
Fe VI , ,2.20E-01,46 603.7    , 5/2 
Fe VI , ,4.50E-03,46 603.7    , 5/2 
Fe I ,214.51895,5.70E+06,47 017.188  ,3
Fe II ,214.54, ,72 651.914  , 7/2 
 , , , , 
Fe II ,214.55571, ,106 863.620  , 7/2 
Fe III ,214.5618, ,116 380.24   ,1
Fe II ,214.6045, ,46 967.4751 , 5/2 
Fe III ,214.6064,1.40E+07,116 419.72   ,2
Fe III ,214.6064,2.90E+07,116 419.72   ,2
 , , , , 
Fe I ,214.62821, ,47 555.610  ,1
Fe II ,214.63113,6.10E+06,108 642.450  , 5/2 
Fe II ,214.63113, ,107 017.932  , 5/2 
Fe III ,214.6341,4.50E+07,116 365.03   ,0
Fe III ,214.6341, ,135 239.84   ,4
 , , , , 
Fe II ,214.63689,7.10E+05,62 945.045  , 7/2 
Fe II ,214.65074, ,107 017.932  , 5/2 
Fe II ,214.6606, ,68 000.785  , 9/2 
Fe I ,214.67205, ,47 272.027  ,1
Fe II ,214.6892, ,72 619.499  , 5/2 
 , , , , 
Fe I ,214.70454, ,54 289.034  ,3
Fe I ,214.7479, ,54 706.387  ,2
Fe II ,214.76231,1.00E+07,108 613.977  , 5/2 
Fe II ,214.77032,2.20E+07,72 352.046  , 7/2 
Fe I ,214.77883, ,54 530.653  ,2
 , , , , 
Fe III ,214.7906, ,116 380.24   ,1
Fe II ,214.7927, ,108 667.282  , 1/2 
Fe III ,214.8257,1.30E+07,128 917.66   ,2
Fe I ,214.84031, ,47 419.687  ,2
Fe I ,214.84928, ,54 257.679  ,2
 , , , , 
Fe II ,214.8603, ,47 389.809  , 3/2 
Fe II ,214.88375, ,110 609.548  , 3/2 
Fe I ,214.91786, ,53 891.526  ,3
Fe II ,214.93639,1.40E+07,108 662.300  , 3/2 
Fe III ,214.9561, ,128 917.66   ,2
 , , , , 
Fe I ,214.96294, ,53 881.806  ,4
Fe I ,215.01847, ,47 197.010  ,2
Fe II ,215.0284,7.20E+06,108 642.450  , 5/2 
Fe II ,215.03743,3.00E+06,95 995.817  , 5/2 
Fe II ,215.0621,3.20E+07,67 000.530  , 5/2 
 , , , , 
Fe II ,215.0691, ,108 804.711  , 7/2 
Fe II ,215.0691, ,85 495.366  , 5/2 
Fe II ,215.0691, ,108 775.110  , 11/2 
Fe II ,215.07624,4.70E+06,72 650.698  , 9/2 
Fe II ,215.089, ,62 322.445  , 7/2 
 , , , , 
Fe I ,215.10023, ,53 852.114  ,4
Fe II ,215.10518, ,103 967.555  , 1/2 
Fe I ,215.10994, ,47 177.234  ,1
Fe I ,215.10994, ,46 889.142  ,4
Fe II ,215.15061,2.20E+06,106 866.770  , 5/2 
 , , , , 
Fe I ,215.16953, ,53 388.637  ,4
Fe III ,215.1778,2.20E+08,134 360.41   ,4
Fe I ,215.22487, ,54 603.140  ,1
Fe II ,215.23679,2.20E+07,64 806.494  , 1/2 
Fe II ,215.248, ,115 545.861  , 3/2 
 , , , , 
Fe I ,215.248007, , ,  
Fe III ,215.2708, ,139 827.18   ,4
Fe II ,215.2811, ,73 751.276  , 9/2 
Fe I ,215.30065,6.90E+06,47 136.084  ,2
Fe III ,215.3323,1.30E+06,129 854.98   ,6
 , , , , 
Fe II ,215.3438,1.80E+07,108 667.282  , 1/2 
Fe II ,215.3607, ,68 000.785  , 9/2 
Fe II ,215.36446, ,106 863.620  , 7/2 
Fe II ,215.36696,2.90E+06,108 662.300  , 3/2 
Fe I ,215.41244, ,53 784.750  ,3
 , , , , 
Fe III ,215.4423,1.60E+06,136 185.16   ,5
Fe I ,215.44454, ,58 961.996  ,2
Fe I ,215.44689, ,53 328.835  ,4
Fe II ,215.45904,2.60E+06,108 642.450  , 5/2 
Fe II ,215.47561,2.90E+06,106 796.679  , 5/2 
 , , , , 
Fe I ,215.50197, ,47 092.712  ,3
Fe II ,215.50789, ,110 428.305  , 5/2 
Fe II ,215.51413,3.50E+06,108 537.623  , 7/2 
Fe II ,215.52174, ,112 397.186  , 9/2 
Fe I ,215.52429, ,47 272.027  ,1
 , , , , 
Fe III , ,6.50E+00,77 102.66   ,2
Fe I ,215.56139, ,54 530.653  ,2
Fe I ,215.56472, ,59 343.807  ,1
Fe II ,215.57103,1.40E+07,110 461.272  , 3/2 
Fe I ,215.58144, ,54 357.405  ,3
 , , , , 
Fe II ,215.58703,3.90E+06,72 352.046  , 7/2 
Fe III ,215.5873,6.00E+06,136 793.80   ,2
Fe III ,215.6185,1.60E+07,134 265.49   ,2
Fe III , ,1.50E+01,77 075.66   ,1
Fe I ,215.64301, ,58 334.613  ,4
 , , , , 
Fe I ,215.6495, ,54 342.779  ,2
Fe III ,215.6752, ,139 764.50   ,2
Fe II ,215.676, ,95 858.270  , 3/2 
Fe III , ,5.80E+00,77 075.66   ,1
Fe V , ,1.15E-01,71 280.3    ,4
 , , , , 
Fe III ,215.7111, ,117 068.82   ,3
Fe II ,215.72446, ,110 428.305  , 5/2 
Fe III ,215.7289, ,117 068.82   ,3
Fe II ,215.74107, ,107 430.742  , 3/2 
Fe II ,215.74107, ,108 630.427  , 11/2 
 , , , , 
Fe III ,215.7712, ,120 180.06   ,0
Fe I ,215.77944, ,46 744.993  ,3
Fe II ,215.79388,2.40E+06,108 391.507  , 9/2 
Fe II ,215.79604,8.00E+06,110 611.830  , 5/2 
Fe III ,215.8009,3.40E+06,136 796.90   ,3
 , , , , 
Fe II ,215.81258,1.90E+06,106 592.294  , 5/2 
Fe I ,215.84743, ,54 042.527  ,2
Fe III ,215.8475,9.00E+07,139 827.18   ,4
Fe II ,215.85206, ,62 158.126  , 9/2 
Fe I ,215.85342, ,47 017.188  ,3
 , , , , 
Fe I ,215.86294, ,46 727.074  ,2
Fe III ,215.8692,4.00E+06,136 793.80   ,2
Fe I ,215.87348, ,47 197.010  ,2
Fe I ,215.892, ,46 720.842  ,4
Fe I ,215.89977, ,54 289.034  ,3
 , , , , 
Fe I ,215.915, ,58 276.260  ,3
Fe II ,215.91951,1.40E+07,106 924.441  , 9/2 
Fe II ,215.925, ,72 650.698  , 9/2 
Fe I ,215.9431, ,47 272.027  ,1
Fe II ,215.95189, ,69 102.427  , 5/2 
 , , , , 
Fe I ,215.96374, ,54 017.581  ,4
Fe I ,215.96557, ,47 177.234  ,1
Fe I ,215.98809, ,53 661.079  ,3
Fe I ,215.99235, ,47 171.531  ,0
Fe II ,215.99796,1.20E+06,108 365.344  , 7/2 
 , , , , 
Fe I ,216.02382, ,54 004.718  ,3
Fe I ,216.04615, ,54 257.679  ,2
Fe III ,216.0657,7.00E+06,139 680.37   ,3
Fe II ,216.07929,6.00E+05,67 516.328  , 11/2 
Fe II ,216.116007,2.80E+07,72 238.564  , 5/2 
 , , , , 
Fe III ,216.1272, ,119 982.34   ,1
Fe II ,216.1279, ,73 187.318  , 1/2 
Fe III ,216.148, ,116 975.21   ,2
Fe I ,216.1579,5.00E+06,47 136.084  ,2
Fe III , ,1.20E+01,77 102.66   ,2
 , , , , 
Fe II ,216.17744, ,115 545.861  , 3/2 
Fe III , ,6.80E+00,76 957.02   ,3
Fe II ,216.20221,2.50E+07,62 083.118  , 9/2 
Fe I ,216.22479, ,53 610.412  ,4
Fe III ,216.2285,5.00E+06,139 625.21   ,4
 , , , , 
Fe II ,216.2427,1.10E+06,108 387.934  , 11/2 
Fe II ,216.2599, ,84 685.245  , 7/2 
Fe II ,216.285, ,62 065.528  , 7/2 
Fe II ,216.29568, ,110 167.303  , 7/2 
Fe VI , ,6.60E-04,46 217.3    , 7/2 
 , , , , 
Fe I ,216.33665, ,53 586.510  ,5
Fe III ,216.3478, ,135 990.84   ,4
Fe II ,216.34848,3.00E+07,108 365.344  , 7/2 
Fe I ,216.38622, ,47 177.234  ,1
Fe I ,216.3927, ,46 901.832  ,1
 , , , , 
Fe II ,216.4038, ,84 359.779  , 3/2 
Fe III ,216.4062,8.00E+06,128 605.74   ,1
Fe II ,216.433849,1.10E+07,59 663.440  , 3/2 
Fe I ,216.43813, ,54 342.779  ,2
Fe III , ,1.05E+00,77 044.67   ,2
 , , , , 
Fe II ,216.44596,1.50E+07,110 611.830  , 5/2 
Fe I ,216.45275, ,53 913.020  ,2
Fe I ,216.45487, ,46 888.517  ,2
Fe II ,216.46114,4.30E+06,72 238.564  , 5/2 
Fe II ,216.4626, ,109 455.629  , 5/2 
 , , , , 
Fe III ,216.5073, ,116 898.44   ,2
Fe II ,216.5232, ,67 000.530  , 5/2 
Fe II ,216.5283, ,96 356.551  , 7/2 
Fe III ,216.5329,3.40E+06,139 680.37   ,3
Fe I ,216.55351, ,53 891.526  ,3
 , , , , 
Fe II ,216.55546, ,69 102.427  , 5/2 
Fe III , ,1.20E+01,77 044.67   ,2
Fe I ,216.58614, ,53 084.789  ,5
Fe I ,216.59911, ,53 881.806  ,4
Fe I ,216.6222, ,54 134.655  ,3
 , , , , 
Fe II ,216.6392,6.00E+06,84 359.779  , 3/2 
Fe II ,216.6458, ,96 356.551  , 7/2 
Fe I ,216.65858, ,53 069.357  ,6
Fe III ,216.6606,4.00E+06,136 612.84   ,4
Fe II ,216.671289,3.10E+07,78 137.404  , 7/2 
 , , , , 
Fe I ,216.67732,2.70E+08,46 137.097  ,3
Fe III , ,1.90E+01,70 694.40   ,5
