Ion, Observed , Aki, Ek ,J
Fe II ,208.1295, ,63 876.325  , 11/2 
Fe II ,208.1653, ,108 648.712  , 13/2 
Fe II ,208.19,2.00E+06,106 649.452  , 11/2 
 , , , , 
Fe III ,208.2377,4.40E+07,141 399.18   ,2
Fe III ,208.2792,1.10E+07,145 038.62   ,3
Fe III ,208.3019, ,118 686.41   ,4
Fe III ,208.311,1.40E+07,165 939.83   ,5
Fe III ,208.3222, ,132 659.48   ,4
 , , , , 
Fe II ,208.3358,6.40E+06,92 899.306  , 5/2 
Fe II ,208.352, ,75 600.900  , 7/2 
Fe III ,208.3542,1.50E+08,137 763.58   ,5
Fe II ,208.40161, ,108 239.375  , 7/2 
Fe III ,208.4021,2.10E+08,178 826.15   ,1
 , , , , 
Fe I ,208.41212, ,47 966.585  ,3
Fe III ,208.4225,8.00E+07,178 826.15   ,1
Fe III ,208.4365,4.10E+08,118 686.41   ,4
Fe II ,208.4518, ,86 416.370  , 7/2 
Fe III ,208.4534,2.00E+07,118 686.41   ,4
 , , , , 
Fe III ,208.4534,1.10E+08,178 826.15   ,1
Fe III ,208.4667, ,141 466.65   ,3
Fe II ,208.4962,2.10E+06,108 217.596  , 9/2 
Fe III ,208.4969, ,124 904.09   ,2
Fe II ,208.502,1.10E+06,73 751.276  , 9/2 
 , , , , 
Fe I ,208.502, ,48 361.882  ,4
Fe II ,208.5711, ,114 307.099  , 5/2 
Fe I ,208.5712, ,47 929.997  ,4
Fe III ,208.5846,1.00E+08,144 968.41   ,4
Fe II ,208.5865,2.00E+06,78 690.860  , 5/2 
 , , , , 
Fe II ,208.59213,2.30E+07,110 008.310  , 9/2 
Fe III ,208.6135, ,132 080.04   ,3
Fe II ,208.6282, ,64 286.354  , 7/2 
Fe III ,208.7144,3.70E+08,124 854.11   ,3
Fe II ,208.7148, ,121 863.975  , 13/2 
 , , , , 
Fe I ,208.7511, ,48 304.643  ,2
Fe II ,208.754136,1.40E+08,66 248.647  , 1/2 
Fe II ,208.7587, ,109 474.060  , 9/2 
Fe III ,208.7917,3.00E+08,124 955.09   ,1
Fe II ,208.8034, ,114 399.170  , 3/2 
 , , , , 
Fe II ,208.8631, ,114 475.826  , 5/2 
Fe III ,208.8631,1.80E+07,118 557.32   ,5
Fe II ,208.8837, ,61 332.753  , 3/2 
Fe III ,208.9091, ,124 955.09   ,1
Fe II ,208.9097, ,114 464.872  , 3/2 
 , , , , 
Fe II ,208.98122,1.00E+07,109 901.523  , 7/2 
Fe I ,208.98738, ,47 834.550  ,5
Fe III ,209.0055, ,137 528.06   ,4
Fe III ,209.0154,7.00E+07,124 904.09   ,2
Fe III ,209.0154,4.10E+08,118 557.32   ,5
 , , , , 
Fe III ,209.0268,7.30E+07,117 521.99   ,4
Fe I ,209.03831, ,48 238.847  ,2
Fe II ,209.0571, ,109 901.523  , 7/2 
Fe I ,209.08546, ,48 516.138  ,1
Fe I ,209.08546, ,47 812.118  ,4
 , , , , 
Fe III ,209.1325,2.50E+08,124 904.09   ,2
Fe III ,209.1485,2.10E+07,131 445.12   ,2
Fe II ,209.153,8.00E+05,73 966.843  , 13/2 
