Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,
Al I , ,3.66E+05,46 593.32  , 3/2 ,,,,,,,,,,,,,,
Al I , ,4.37E+05,46 593.95  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I , ,7.28E+04,46 593.32  , 3/2 ,,,,,,,,,,,,,,
Al II , ,1.46E+05,145 834.70  ,1,,,,,,,,,,,,,,
Al I ,736.1568,2.32E+06,46 015.774 , 5/2 ,,,,,,,,,,,,,,
Al I , ,1.66E+05,46 015.774 , 5/2 ,,,,,,,,,,,,,,
Al I ,736.2297,2.49E+06,46 015.774 , 7/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,1.44E+05,145 776.15  ,0,,,,,,,,,,,,,,
Al II , ,4.80E+05,134 919.40  ,1,,,,,,,,,,,,,,
Al II , ,1.06E+06,135 022.127 ,2,,,,,,,,,,,,,,
Al II , ,1.88E+05,135 022.127 ,2,,,,,,,,,,,,,,
Al II , ,1.25E+04,135 022.127 ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,9.40E+05,135 015.701 ,1,,,,,,,,,,,,,,
Al II , ,3.14E+05,135 015.701 ,1,,,,,,,,,,,,,,
Al II , ,1.25E+06,135 012.285 ,0,,,,,,,,,,,,,,
Al II ,744.942,1.16E+07,139 289.15  ,2,,,,,,,,,,,,,,
Al II ,747.141,5.57E+07,123 470.5   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III , ,3.63E+06,208 881.83  , 3/2 ,,,,,,,,,,,,,,
Al III , ,7.10E+05,208 881.83  , 3/2 ,,,,,,,,,,,,,,
Al III , ,4.26E+06,208 881.83  , 5/2 ,,,,,,,,,,,,,,
Al I ,755.4162, ,46 183.895 , 1/2 ,,,,,,,,,,,,,,
Al VIII , ,2.41E+04,1 504 780     , 1? ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,756.3214, ,46 183.895 , 1/2 ,,,,,,,,,,,,,,
Al I ,760.6159,4.36E+05,46 093.424 , 3/2 ,,,,,,,,,,,,,,
Al II , ,3.09E+04,145 961.54  ,2,,,,,,,,,,,,,,
Al II , ,1.72E+05,145 961.54  ,2,,,,,,,,,,,,,,
Al II , ,2.05E+03,145 961.54  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,761.482,5.20E+05,46 094.312 , 5/2 ,,,,,,,,,,,,,,
Al I ,761.5339,8.68E+04,46 093.424 , 3/2 ,,,,,,,,,,,,,,
Al II ,762.448,4.59E+06,138 814.87  ,1,,,,,,,,,,,,,,
Al II ,762.785,6.20E+06,138 814.87  ,2,,,,,,,,,,,,,,
Al II , ,3.45E+06,138 814.87  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III , ,3.55E+06,201 971.16  , 5/2 ,,,,,,,,,,,,,,
Al II ,763.533,8.25E+06,138 815.12  ,3,,,,,,,,,,,,,,
Al III ,763.537,5.33E+07,201 971.16  , 7/2 ,,,,,,,,,,,,,,
Al III ,763.537,4.97E+07,201 971.16  , 5/2 ,,,,,,,,,,,,,,
Al II , ,2.29E+05,138 814.87  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,2.06E+06,138 814.87  ,2,,,,,,,,,,,,,,
Al III ,766.0259,3.80E+07,191 484.23  , 1/2 ,,,,,,,,,,,,,,
Al III ,768.1971,7.60E+07,191 484.23  , 1/2 ,,,,,,,,,,,,,,
Al II , ,1.50E+05,145 834.70  ,1,,,,,,,,,,,,,,
Al II , ,4.99E+04,145 834.70  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,3.68E+06,146 416.9   ,3,,,,,,,,,,,,,,
Al II , ,3.22E+05,146 416.9   ,3,,,,,,,,,,,,,,
Al II , ,3.75E+06,146 416.9   ,4,,,,,,,,,,,,,,
Al II , ,4.90E+03,146 416.9   ,3,,,,,,,,,,,,,,
Al II , ,2.50E+05,146 416.9   ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,4.00E+06,146 416.9   ,5,,,,,,,,,,,,,,
Al II , ,1.97E+05,145 776.15  ,0,,,,,,,,,,,,,,
Al II , ,1.43E+07,138 800.60  ,0,,,,,,,,,,,,,,
Al II ,781.231,1.55E+06,138 499.89  ,1,,,,,,,,,,,,,,
Al II ,781.583,4.64E+06,138 499.89  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,782.372,7.70E+06,138 499.89  ,1,,,,,,,,,,,,,,
Al I ,783.5309,3.71E+06,45 194.681 , 5/2 ,,,,,,,,,,,,,,
Al I ,783.6134,2.65E+05,45 194.681 , 5/2 ,,,,,,,,,,,,,,
Al I ,783.6134,3.97E+06,45 194.681 , 7/2 ,,,,,,,,,,,,,,
Al III ,788.179,5.53E+07,178 470.32  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,788.2516,6.14E+06,178 470.32  , 3/2 ,,,,,,,,,,,,,,
Al VIII , ,2.82E+04,1 504 780     , 1? ,,,,,,,,,,,,,,
Al XII , ,5.08E+06,(15 829 467)    ,2,,,,,,,,,,,,,,
Al III ,790.5513,6.12E+07,178 433.43  , 1/2 ,,,,,,,,,,,,,,
Al III , ,8.82E+05,213 995.48  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,792.166,1.32E+07,213 995.48  , 7/2 ,,,,,,,,,,,,,,
Al III ,792.166,1.23E+07,213 995.48  , 5/2 ,,,,,,,,,,,,,,
Al I ,799.3048, ,45 457.244 , 1/2 ,,,,,,,,,,,,,,
Al I ,800.3186, ,45 457.244 , 1/2 ,,,,,,,,,,,,,,
Al I ,806.5968,4.42E+05,45 344.165 , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,807.5353,5.28E+05,45 345.594 , 5/2 ,,,,,,,,,,,,,,
Al I ,807.6289,8.81E+04,45 344.165 , 3/2 ,,,,,,,,,,,,,,
Al II ,808.691,2.02E+06,146 278.70  ,3,,,,,,,,,,,,,,
Al II ,811.972,2.91E+06,145 135.31  ,4,,,,,,,,,,,,,,
Al II , ,3.24E+05,145 131.93  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,812.189, ,145 131.93  ,3,,,,,,,,,,,,,,
Al II ,812.203,2.58E+06,145 131.93  ,3,,,,,,,,,,,,,,
Al II ,812.208, ,145 131.93  ,3,,,,,,,,,,,,,,
Al II ,812.352,4.54E+05,145 129.51  ,2,,,,,,,,,,,,,,
Al II ,812.352,1.28E+04,145 129.51  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,812.352,2.44E+06,145 129.51  ,2,,,,,,,,,,,,,,
Al III ,824.359, ,202 003.58  , 7/2 ,,,,,,,,,,,,,,
Al III ,824.359, ,202 003.58  , 9/2 ,,,,,,,,,,,,,,
Al III ,827.511, ,202 009.71  , 9/2 ,,,,,,,,,,,,,,
Al III ,827.511, ,202 009.71  , 11/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,830.162, ,201 971.16  , 7/2 ,,,,,,,,,,,,,,
Al III ,830.402, ,214 010.22  , 7/2 ,,,,,,,,,,,,,,
Al III ,830.402, ,214 010.22  , 7/2 ,,,,,,,,,,,,,,
Al III ,830.402, ,214 010.22  , 9/2 ,,,,,,,,,,,,,,
Al XII , ,4.36E+06,(15 828 827)    ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III ,832.456, ,214 012.93  , 11/2 ,,,,,,,,,,,,,,
Al III ,832.456, ,214 012.93  , 9/2 ,,,,,,,,,,,,,,
Al III ,832.456, ,214 012.93  , 9/2 ,,,,,,,,,,,,,,
Al II ,835.4318,4.27E+07,133 450.07  ,4,,,,,,,,,,,,,,
Al II ,835.923,4.75E+06,133 443.08  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,835.9492,3.79E+07,133 443.08  ,3,,,,,,,,,,,,,,
Al II , ,1.87E+05,133 437.71  ,2,,,,,,,,,,,,,,
Al II ,836.3251,6.64E+06,133 437.71  ,2,,,,,,,,,,,,,,
Al II ,836.3469,3.58E+07,133 437.71  ,2,,,,,,,,,,,,,,
Al XII , ,4.17E+06,(15 828 659)    ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al III , ,1.80E+06,213 737.44  , 5/2 ,,,,,,,,,,,,,,
Al III , ,1.89E+06,213 737.44  , 3/2 ,,,,,,,,,,,,,,
Al III , ,8.99E+04,213 737.44  , 5/2 ,,,,,,,,,,,,,,
Al II ,864.0705,3.00E+07,106 920.56  ,1,,,,,,,,,,,,,,
Al II ,867.106, ,144 967.1   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II ,867.121,5.52E+06,144 967.1   ,3,,,,,,,,,,,,,,
Al II ,867.128, ,144 967.1   ,3,,,,,,,,,,,,,,
Al II , ,4.83E+05,144 967.1   ,3,,,,,,,,,,,,,,
Al II , ,5.62E+06,144 967.1   ,4,,,,,,,,,,,,,,
Al II , ,7.34E+03,144 967.1   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,3.75E+05,144 967.1   ,4,,,,,,,,,,,,,,
Al II , ,5.99E+06,144 967.1   ,5,,,,,,,,,,,,,,
Al III , ,5.66E+06,201 375.56  , 3/2 ,,,,,,,,,,,,,,
Al III ,869.398,2.69E+05,201 375.20  , 5/2 ,,,,,,,,,,,,,,
Al III ,869.398,5.39E+06,201 375.20  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,877.2866,6.47E+06,43 831.101 , 5/2 ,,,,,,,,,,,,,,
Al I ,877.3896,6.95E+06,43 831.105 , 7/2 ,,,,,,,,,,,,,,
Al I ,877.3896,4.62E+05,43 831.101 , 5/2 ,,,,,,,,,,,,,,
Al II , ,1.65E+06,146 276.0   ,2,,,,,,,,,,,,,,
Al I ,882.8909,6.72E+05,44 273.133 , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,884.1277,1.34E+06,44 273.133 , 1/2 ,,,,,,,,,,,,,,
Al I ,891.29,2.28E+05,44 166.398 , 3/2 ,,,,,,,,,,,,,,
Al II , ,6.16E+02,144 642.45  ,3,,,,,,,,,,,,,,
Al II , ,3.07E+04,144 642.18  ,2,,,,,,,,,,,,,,
Al II , ,2.75E+05,144 642.0   ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al I ,892.3555,2.73E+05,44 168.847 , 5/2 ,,,,,,,,,,,,,,
Al I ,892.5504,4.54E+04,44 166.398 , 3/2 ,,,,,,,,,,,,,,
Al II , ,2.19E+04,144 642.45  ,3,,,,,,,,,,,,,,
Al II , ,2.45E+05,144 642.18  ,2,,,,,,,,,,,,,,
Al II , ,2.52E+05,144 642.45  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,5.58E+05,146 188.5   ,1,,,,,,,,,,,,,,
Al II , ,4.18E+05,146 188.5   ,1,,,,,,,,,,,,,,
Al II , ,7.54E+05,146 188.5   ,2,,,,,,,,,,,,,,
Al II , ,1.00E+06,146 188.9   ,3,,,,,,,,,,,,,,
Al II , ,2.79E+04,146 188.5   ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Al II , ,2.50E+05,146 188.5   ,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
