Wavelength (nm),Sum(calc),Al I (1.2e-1),Al II (2.2e-1),Al III (1.7e-5),Ti I (5.1e-2),Ti II (2.8e-1),Ti III (6.0e-4),Fe I (1.0e-1),Fe II (2.3e-1),Fe III (5.1e-5)
422.91,2.588e+3,,6.330e-1,3.434e-22,8.186e-13,1.902e-12,5.419e-9,2.587e+3,5.085e-16,5.408e-9
422.96,2.437e+3,,5.655e-1,3.418e-22,7.925e-13,1.882e-12,2.485e-9,2.437e+3,5.084e-16,3.961e-9
423.01,2.296e+3,,4.917e-1,3.401e-22,7.664e-13,1.862e-12,1.108e-9,2.295e+3,5.083e-16,3.114e-9
423.06,2.177e+3,,4.160e-1,3.384e-22,7.403e-13,1.843e-12,4.813e-10,2.177e+3,5.081e-16,2.807e-9
423.11,2.093e+3,,3.425e-1,3.368e-22,7.142e-13,1.823e-12,2.048e-10,2.093e+3,5.080e-16,3.010e-9
423.16,2.049e+3,,2.744e-1,3.351e-22,6.881e-13,1.803e-12,8.877e-11,2.049e+3,5.079e-16,3.719e-9
423.20,2.043e+3,,2.254e-1,3.338e-22,6.672e-13,1.788e-12,5.162e-11,2.043e+3,5.078e-16,4.666e-9
423.25,2.069e+3,,1.719e-1,3.321e-22,6.411e-13,1.768e-12,4.355e-11,2.068e+3,5.076e-16,6.359e-9
423.30,2.124e+3,,1.276e-1,3.304e-22,6.150e-13,1.749e-12,7.080e-11,2.124e+3,5.075e-16,8.660e-9
423.35,2.198e+3,,9.221e-2,3.288e-22,5.889e-13,1.729e-12,1.486e-10,2.198e+3,5.074e-16,1.160e-8
423.40,2.278e+3,,6.483e-2,3.271e-22,5.628e-13,1.709e-12,3.225e-10,2.278e+3,5.073e-16,1.519e-8
423.45,2.351e+3,,4.435e-2,3.254e-22,5.367e-13,1.690e-12,6.888e-10,2.351e+3,5.071e-16,1.938e-8
423.50,2.405e+3,,2.953e-2,3.238e-22,5.106e-13,1.670e-12,1.436e-9,2.405e+3,5.070e-16,2.409e-8
423.55,2.431e+3,,1.913e-2,3.221e-22,4.846e-13,1.651e-12,2.916e-9,2.431e+3,5.069e-16,2.914e-8
423.60,2.423e+3,,1.206e-2,3.204e-22,4.585e-13,1.631e-12,5.773e-9,2.423e+3,5.068e-16,3.431e-8
423.64,2.388e+3,,8.174e-3,3.191e-22,4.376e-13,1.615e-12,9.787e-9,2.388e+3,5.067e-16,3.835e-8
423.69,2.312e+3,,4.906e-3,3.174e-22,4.115e-13,1.596e-12,1.850e-8,2.312e+3,5.065e-16,4.301e-8
423.74,2.199e+3,,2.865e-3,3.158e-22,3.854e-13,1.576e-12,3.409e-8,2.199e+3,5.064e-16,4.699e-8
423.79,2.057e+3,,1.628e-3,3.141e-22,3.593e-13,1.556e-12,6.124e-8,2.057e+3,5.063e-16,4.999e-8
423.84,1.891e+3,,9.006e-4,3.124e-22,3.332e-13,1.537e-12,1.073e-7,1.891e+3,5.062e-16,5.184e-8
423.89,1.710e+3,,4.846e-4,3.108e-22,3.071e-13,1.517e-12,1.833e-7,1.710e+3,5.060e-16,5.242e-8
423.94,1.522e+3,,2.537e-4,3.091e-22,2.810e-13,1.498e-12,3.056e-7,1.522e+3,5.059e-16,5.174e-8
423.99,1.338e+3,,1.293e-4,3.074e-22,2.549e-13,1.478e-12,4.969e-7,1.338e+3,5.058e-16,4.991e-8
424.03,1.197e+3,,7.390e-5,3.061e-22,2.340e-13,1.462e-12,7.202e-7,1.197e+3,5.057e-16,4.777e-8
