Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.2e-1),Fe III (1.1e-4),Ni I (7.3e-3),Ni II (2.3e-2),Ni III (7.6e-7)
205.22,5.014e+2,,4.271e+2,2.642e-7,7.437e+1,,
205.25,2.626e+2,,1.981e+2,4.018e-7,6.450e+1,,
205.27,1.623e+2,,1.089e+2,7.829e-7,5.337e+1,,
205.3,7.774e+1,,4.279e+1,2.044e-6,3.495e+1,,
205.32,5.336e+1,,2.916e+1,3.621e-6,2.420e+1,,
205.35,5.478e+1,,4.169e+1,7.876e-6,1.308e+1,,
205.37,8.214e+1,,7.263e+1,1.285e-5,9.506e+0,,
205.39,1.349e+2,,1.259e+2,2.096e-5,8.994e+0,,
205.42,2.688e+2,,2.550e+2,4.477e-5,1.375e+1,,
205.44,3.927e+2,,3.723e+2,7.505e-5,2.036e+1,,
205.47,6.043e+2,,5.701e+2,1.588e-4,3.421e+1,,
205.49,7.334e+2,,6.890e+2,2.508e-4,4.447e+1,,
205.52,8.515e+2,,7.941e+2,4.522e-4,5.738e+1,,
205.54,8.560e+2,,7.941e+2,6.224e-4,6.189e+1,,
205.57,7.491e+2,,6.890e+2,8.955e-4,6.015e+1,,
205.59,6.238e+2,,5.701e+2,1.058e-3,5.369e+1,,
205.62,4.116e+2,,3.723e+2,1.220e-3,3.928e+1,,
205.64,2.839e+2,,2.549e+2,1.258e-3,2.902e+1,,
205.67,1.413e+2,,1.253e+2,1.216e-3,1.599e+1,,
205.69,8.078e+1,,7.099e+1,1.143e-3,9.787e+0,,
205.72,3.041e+1,,2.627e+1,1.019e-3,4.143e+0,,
205.74,1.461e+1,,1.231e+1,9.562e-4,2.296e+0,,
205.76,6.925e+0,,5.352e+0,9.276e-4,1.573e+0,,
205.79,3.665e+0,,1.330e+0,9.616e-4,2.334e+0,,
205.81,4.813e+0,,4.784e-1,1.028e-3,4.334e+0,,
205.84,1.087e+1,,8.951e-2,1.159e-3,1.078e+1,,
205.86,1.827e+1,,2.664e-2,1.247e-3,1.824e+1,,
205.89,3.495e+1,,3.752e-3,1.386e-3,3.495e+1,,
205.91,4.907e+1,,9.260e-4,1.537e-3,4.907e+1,,
205.94,7.087e+1,,1.256e-4,2.119e-3,7.087e+1,,
205.96,8.241e+1,,1.541e-4,3.080e-3,8.240e+1,,
205.99,8.971e+1,,1.244e-3,6.408e-3,8.970e+1,,
206.01,8.640e+1,,4.989e-3,1.074e-2,8.638e+1,,
206.04,7.092e+1,,3.487e-2,2.183e-2,7.087e+1,,
206.06,5.667e+1,,1.160e-1,3.261e-2,5.652e+1,,
206.09,3.561e+1,,6.117e-1,5.232e-2,3.495e+1,,
206.11,2.483e+1,,1.687e+0,6.549e-2,2.308e+1,,
206.13,1.853e+1,,4.315e+0,7.613e-2,1.414e+1,,
206.16,2.130e+1,,1.533e+1,8.293e-2,5.883e+0,,
206.18,3.557e+1,,3.251e+1,7.995e-2,2.984e+0,,
206.21,8.815e+1,,8.715e+1,6.573e-2,9.360e-1,,
206.23,1.536e+2,,1.531e+2,5.251e-2,3.932e-1,,
206.26,3.098e+2,,3.097e+2,3.257e-2,9.295e-2,,
206.28,4.510e+2,,4.509e+2,2.156e-2,3.234e-2,,
206.31,6.883e+2,,6.882e+2,1.009e-2,5.761e-3,,
206.33,8.307e+2,,8.307e+2,5.537e-3,1.660e-3,,
206.36,9.576e+2,,9.576e+2,1.955e-3,2.229e-4,,
206.38,9.600e+2,,9.600e+2,8.902e-4,5.318e-5,,
206.41,8.432e+2,,8.432e+2,2.396e-4,5.382e-6,,
206.43,7.134e+2,,7.134e+2,9.353e-5,1.064e-6,,
206.46,5.114e+2,,5.114e+2,2.510e-5,8.111e-8,,
206.48,4.081e+2,,4.081e+2,1.559e-5,1.327e-8,,
206.5,3.461e+2,,3.461e+2,1.686e-5,2.015e-9,,
206.53,3.280e+2,,3.280e+2,4.182e-5,1.034e-10,,
206.55,3.493e+2,,3.493e+2,1.003e-4,1.300e-11,,
206.58,3.923e+2,,3.923e+2,3.984e-4,5.029e-13,,
206.6,4.106e+2,,4.106e+2,9.551e-4,5.235e-14,,
206.63,4.160e+2,,4.160e+2,3.145e-3,1.526e-15,,
206.65,4.159e+2,,4.159e+2,6.371e-3,1.316e-16,,
206.68,4.408e+2,,4.408e+2,1.601e-2,2.891e-18,,
206.7,4.867e+2,,4.866e+2,2.699e-2,2.064e-19,,
206.73,5.929e+2,,5.929e+2,5.138e-2,2.401e-19,,
206.75,6.672e+2,,6.672e+2,7.190e-2,2.626e-19,,
206.78,7.334e+2,,7.333e+2,1.035e-1,2.963e-19,,
206.8,7.249e+2,,7.248e+2,1.202e-1,3.188e-19,,
206.83,6.277e+2,,6.275e+2,1.307e-1,3.525e-19,,
206.85,5.238e+2,,5.237e+2,1.259e-1,3.749e-19,,
206.87,4.108e+2,,4.107e+2,1.125e-1,3.974e-19,,
206.9,2.637e+2,,2.636e+2,8.267e-2,4.311e-19,,
206.92,1.967e+2,,1.967e+2,6.134e-2,4.536e-19,,
206.95,1.477e+2,,1.477e+2,3.414e-2,4.873e-19,,
206.97,1.411e+2,,1.411e+2,2.112e-2,5.097e-19,,
207,1.483e+2,,1.483e+2,9.085e-3,5.434e-19,,
207.02,1.524e+2,,1.523e+2,4.858e-3,5.659e-19,,
207.05,1.445e+2,,1.445e+2,1.861e-3,5.996e-19,,
207.07,1.285e+2,,1.285e+2,1.044e-3,6.220e-19,,
207.1,9.416e+1,,9.416e+1,5.296e-4,6.557e-19,,
207.12,6.981e+1,,6.981e+1,3.706e-4,6.782e-19,,
207.15,3.877e+1,,3.877e+1,2.193e-4,7.119e-19,,
207.17,2.386e+1,,2.386e+1,1.474e-4,7.344e-19,,
207.2,1.002e+1,,1.002e+1,7.235e-5,7.681e-19,,
207.22,5.116e+0,,5.116e+0,4.143e-5,7.905e-19,,
207.25,1.623e+0,,1.623e+0,1.621e-5,8.242e-19,,
207.27,6.880e-1,,6.880e-1,8.725e-6,8.467e-19,,
207.29,2.706e-1,,2.706e-1,5.576e-6,8.692e-19,,
207.32,5.802e-2,,5.802e-2,5.268e-6,9.029e-19,,
207.34,1.894e-2,,1.893e-2,6.508e-6,9.253e-19,,
207.37,3.077e-3,,3.068e-3,8.979e-6,9.590e-19,,
207.39,8.412e-4,,8.308e-4,1.039e-5,9.815e-19,,
207.42,1.131e-4,,1.018e-4,1.136e-5,1.015e-18,,
207.44,3.395e-5,,2.286e-5,1.108e-5,1.038e-18,,
207.47,1.172e-5,,2.117e-6,9.600e-6,1.071e-18,,
207.49,8.758e-6,,3.983e-7,8.360e-6,1.094e-18,,
