Wavelength (nm),Sum(calc),Fe I (7.7e-2),Fe II (4.2e-1),Fe III (5.7e-5),Ni I (1.2e-1),Ni II (3.8e-1),Ni III (1.3e-5)
207.32,2.991e-2,,2.991e-2,2.715e-6,3.345e-13,,
207.34,9.762e-3,,9.759e-3,3.355e-6,3.416e-13,,
207.37,1.586e-3,,1.582e-3,4.628e-6,3.524e-13,,
207.39,4.336e-4,,4.282e-4,5.353e-6,3.595e-13,,
207.42,5.831e-5,,5.246e-5,5.855e-6,3.702e-13,,
207.44,1.750e-5,,1.178e-5,5.713e-6,3.774e-13,,
207.47,6.040e-6,,1.091e-6,4.948e-6,3.881e-13,,
207.49,4.515e-6,,2.053e-7,4.309e-6,3.953e-13,,
207.52,3.729e-6,,4.763e-8,3.682e-6,4.060e-13,,
207.54,4.121e-6,,2.066e-7,3.914e-6,4.131e-13,,
207.57,1.015e-5,,2.695e-6,7.456e-6,4.239e-13,,
207.59,3.048e-5,,1.371e-5,1.677e-5,4.310e-13,,
207.62,2.081e-4,,1.370e-4,7.118e-5,4.417e-13,,
207.64,7.658e-4,,5.792e-4,1.865e-4,4.489e-13,,
207.67,5.101e-3,,4.385e-3,7.154e-4,4.596e-13,,
207.69,1.703e-2,,1.541e-2,1.610e-3,4.668e-13,,
207.72,9.319e-2,,8.844e-2,4.749e-3,4.775e-13,,
207.74,2.673e-1,,2.584e-1,8.909e-3,4.846e-13,,
207.77,1.144e+0,,1.124e+0,1.993e-2,4.954e-13,,
207.79,2.760e+0,,2.729e+0,3.107e-2,5.025e-13,,
207.82,9.044e+0,,8.992e+0,5.265e-2,5.132e-13,,
207.84,1.822e+1,,1.815e+1,6.823e-2,5.204e-13,,
207.87,4.541e+1,,4.533e+1,8.760e-2,5.311e-13,,
207.89,7.615e+1,,7.606e+1,9.433e-2,5.383e-13,,
207.92,1.440e+2,,1.439e+2,9.175e-2,5.490e-13,,
207.94,2.008e+2,,2.008e+2,8.211e-2,5.572e-12,,
207.97,2.879e+2,,2.879e+2,6.050e-2,1.570e-10,,
207.99,3.338e+2,,3.338e+2,4.499e-2,1.326e-9,,
208.02,3.628e+2,,3.627e+2,2.512e-2,2.834e-8,,
208.04,3.496e+2,,3.496e+2,1.552e-2,1.991e-7,,
208.07,2.879e+2,,2.879e+2,6.567e-3,3.231e-6,,
208.09,2.306e+2,,2.306e+2,3.374e-3,1.888e-5,,
208.11,1.716e+2,,1.716e+2,1.611e-3,1.026e-4,,
208.14,9.583e+1,,9.583e+1,4.644e-4,1.131e-3,,
208.16,5.927e+1,,5.926e+1,1.878e-4,5.110e-3,,
208.19,2.513e+1,,2.509e+1,5.154e-5,4.276e-2,,
208.21,1.306e+1,,1.289e+1,3.516e-5,1.607e-1,,
208.24,5.157e+0,,4.136e+0,5.841e-5,1.021e+0,,
208.26,4.960e+0,,1.767e+0,1.024e-4,3.193e+0,,
208.29,1.582e+1,,4.299e-1,2.284e-4,1.539e+1,,
208.31,4.019e+1,,1.534e-1,3.660e-4,4.004e+1,,
208.34,1.465e+2,,3.151e-2,6.622e-4,1.464e+2,,
208.36,3.171e+2,,1.678e-2,9.061e-4,3.171e+2,1.525e-14,
208.39,8.800e+2,,3.165e-2,1.276e-3,8.800e+2,4.993e-13,
208.41,1.585e+3,,6.907e-2,1.469e-3,1.585e+3,4.663e-12,
208.44,3.339e+3,,2.299e-1,1.587e-3,3.339e+3,1.160e-10,
208.46,5.005e+3,,5.192e-1,1.529e-3,5.004e+3,9.020e-10,
208.49,8.000e+3,,1.786e+0,1.265e-3,7.999e+3,1.705e-8,
208.51,9.978e+3,,4.019e+0,1.023e-3,9.974e+3,1.104e-7,
208.54,1.211e+4,,1.273e+1,6.685e-4,1.210e+4,1.585e-6,
208.56,1.258e+4,,2.578e+1,4.847e-4,1.255e+4,8.546e-6,
208.59,1.162e+4,,6.613e+1,3.269e-4,1.156e+4,9.325e-5,
208.61,1.009e+4,,1.139e+2,2.984e-4,9.974e+3,4.186e-4,
208.64,7.194e+3,,2.256e+2,3.400e-4,6.968e+3,3.471e-3,
208.66,5.329e+3,,3.252e+2,3.983e-4,5.004e+3,1.297e-2,
208.69,3.144e+3,,4.909e+2,4.870e-4,2.653e+3,8.172e-2,
208.71,2.175e+3,,5.896e+2,5.263e-4,1.585e+3,2.543e-1,
208.74,1.315e+3,,6.765e+2,5.376e-4,6.378e+2,1.217e+0,
208.76,9.966e+2,,6.764e+2,5.149e-4,3.171e+2,3.155e+0,
208.79,6.977e+2,,5.894e+2,4.552e-4,9.681e+1,1.147e+1,
208.81,5.553e+2,,4.905e+2,4.164e-4,4.004e+1,2.476e+1,
208.84,4.022e+2,,3.245e+2,3.978e-4,9.278e+0,6.841e+1,
208.86,3.509e+2,,2.248e+2,4.375e-4,3.193e+0,1.229e+2,
208.88,3.510e+2,,1.447e+2,5.398e-4,1.021e+0,2.053e+2,
208.91,4.514e+2,,6.511e+1,8.366e-4,1.607e-1,3.861e+2,
208.93,5.718e+2,,3.488e+1,1.127e-3,4.276e-2,5.368e+2,
208.96,7.792e+2,,1.192e+1,1.638e-3,5.110e-3,7.672e+2,
208.98,8.936e+2,,5.328e+0,1.958e-3,1.131e-3,8.883e+2,
