Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
217.89,3.648e-1,2.154e-4,3.646e-1,
217.92,4.835e-2,2.139e-5,4.833e-2,
217.94,1.158e-2,4.216e-6,1.158e-2,
217.97,1.321e-3,3.249e-7,1.320e-3,
217.99,8.677e-4,5.405e-8,8.676e-4,
218.02,6.184e-3,3.232e-9,6.184e-3,
218.04,2.606e-2,4.540e-10,2.606e-2,
218.07,1.997e-1,2.106e-11,1.997e-1,
218.09,7.141e-1,2.498e-12,7.141e-1,
218.12,4.257e+0,8.989e-14,4.257e+0,
218.14,1.287e+1,9.076e-14,1.287e+1,
218.16,3.638e+1,9.163e-14,3.638e+1,
