idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[2, 3, 4, 5, 7]",5,"[415.608, 430.358, 470.654, 495.913, 537.1930000000001]","[0.42, 0.437, 0.098, 0.0413, 0.115]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 2.5629852285999997, 3.7196863938]","[14.0, 10.0, 6.0, 10.0, 20.0]","[0.02912395232734838, -0.02709675092125674, -0.012636395440518838, -0.010867668784679749, 0.021476862819106844]",0.02912395232734838
"[2, 3, 4, 5, 8]",5,"[415.608, 430.358, 470.654, 495.913, 543.152]","[0.42, 0.437, 0.098, 0.0413, 0.054]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 2.5629852285999997, 3.4030910657999995]","[14.0, 10.0, 6.0, 10.0, 14.0]","[0.037048566113126236, -0.02105079409299654, -0.01191424342955913, -0.010401191255824796, 0.006317662665254263]",0.037048566113126236
"[2, 3, 4, 5, 9]",5,"[415.608, 430.358, 470.654, 495.913, 562.054]","[0.42, 0.437, 0.098, 0.0413, 0.13]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 2.5629852285999997, 3.7499945446]","[14.0, 10.0, 6.0, 10.0, 18.0]","[0.029430126802836187, -0.027009222053938076, -0.012653780529443805, -0.01088691063626715, 0.021119786416812628]",0.029430126802836187
"[2, 3, 4, 5, 10]",5,"[415.608, 430.358, 470.654, 495.913, 568.8520000000001]","[0.42, 0.437, 0.098, 0.0413, 0.073]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 2.5629852285999997, 3.1645237905999997]","[14.0, 10.0, 6.0, 10.0, 14.0]","[0.036890656120331766, -0.01993491521468127, -0.011545305825150592, -0.010095057133196687, 0.004684622052696832]",0.036890656120331766
"[2, 3, 4, 6, 7]",5,"[415.608, 430.358, 470.654, 524.9590000000001, 537.1930000000001]","[0.42, 0.437, 0.098, 0.242, 0.115]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 3.3366439847999994, 3.7196863938]","[14.0, 10.0, 6.0, 16.0, 20.0]","[0.013837635601077813, -0.0363978380064412, -0.013297269605403832, 0.018622457126961645, 0.017235014883805667]",0.0363978380064412
"[2, 3, 4, 6, 8]",5,"[415.608, 430.358, 470.654, 524.9590000000001, 543.152]","[0.42, 0.437, 0.098, 0.242, 0.054]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 3.3366439847999994, 3.4030910657999995]","[14.0, 10.0, 6.0, 16.0, 14.0]","[0.019315581367163714, -0.032402051714944924, -0.01285497806009632, 0.021339103945437254, 0.00460234446244024]",0.032402051714944924
"[2, 3, 4, 6, 9]",5,"[415.608, 430.358, 470.654, 524.9590000000001, 562.054]","[0.42, 0.437, 0.098, 0.242, 0.13]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 3.3366439847999994, 3.7499945446]","[14.0, 10.0, 6.0, 16.0, 18.0]","[0.013995451035245743, -0.03641422543709172, -0.01332529960811333, 0.018733985397871605, 0.017010088612087526]",0.03641422543709172
"[2, 3, 4, 6, 10]",5,"[415.608, 430.358, 470.654, 524.9590000000001, 568.8520000000001]","[0.42, 0.437, 0.098, 0.242, 0.073]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 3.3366439847999994, 3.1645237905999997]","[14.0, 10.0, 6.0, 16.0, 14.0]","[0.01971216936410536, -0.030992159191198132, -0.012475516184810742, 0.021252323010539365, 0.0025031830013641024]",0.030992159191198132
"[2, 3, 4, 7, 8]",5,"[415.608, 430.358, 470.654, 537.1930000000001, 543.152]","[0.42, 0.437, 0.098, 0.115, 0.054]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 3.7196863938, 3.4030910657999995]","[14.0, 10.0, 6.0, 20.0, 14.0]","[0.022739948559499623, -0.03469913017175685, -0.01406514302121642, 0.020816585299030195, 0.005207739334443483]",0.03469913017175685
"[2, 3, 4, 7, 9]",5,"[415.608, 430.358, 470.654, 537.1930000000001, 562.054]","[0.42, 0.437, 0.098, 0.115, 0.13]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 3.7196863938, 3.7499945446]","[14.0, 10.0, 6.0, 20.0, 18.0]","[0.01613602591985802, -0.039693287926003185, -0.01465323970315048, 0.019275735481660103, 0.018934766227635527]",0.039693287926003185
