Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
246.159,9.030e+3,2.259e-2,9.030e+3,1.855e-60
246.161,1.103e+4,5.478e-2,1.103e+4,1.858e-60
246.163,1.392e+4,1.288e-1,1.392e+4,1.861e-60
246.164,1.571e+4,1.953e-1,1.571e+4,1.863e-60
246.166,1.999e+4,4.387e-1,1.999e+4,1.866e-60
246.168,2.521e+4,9.559e-1,2.521e+4,1.869e-60
246.169,2.815e+4,1.395e+0,2.815e+4,1.870e-60
246.171,3.462e+4,2.903e+0,3.461e+4,1.873e-60
246.173,4.167e+4,5.861e+0,4.166e+4,1.876e-60
246.174,4.532e+4,8.232e+0,4.531e+4,1.878e-60
246.176,5.261e+4,1.587e+1,5.260e+4,1.881e-60
246.178,5.953e+4,2.969e+1,5.950e+4,1.884e-60
246.179,6.269e+4,4.014e+1,6.265e+4,1.885e-60
246.181,6.809e+4,7.171e+1,6.802e+4,1.888e-60
246.183,7.192e+4,1.243e+2,7.180e+4,1.891e-60
246.184,7.314e+4,1.617e+2,7.298e+4,1.893e-60
246.186,7.403e+4,2.676e+2,7.376e+4,1.896e-60
246.188,7.283e+4,4.297e+2,7.240e+4,1.899e-60
246.189,7.147e+4,5.382e+2,7.093e+4,1.900e-60
246.191,6.740e+4,8.254e+2,6.658e+4,1.903e-60
246.193,6.187e+4,1.228e+3,6.065e+4,1.906e-60
246.194,5.871e+4,1.480e+3,5.723e+4,1.908e-60
246.196,5.193e+4,2.103e+3,4.983e+4,1.911e-60
246.198,4.500e+4,2.898e+3,4.210e+4,1.914e-60
246.199,4.162e+4,3.363e+3,3.826e+4,1.915e-60
246.201,3.532e+4,4.427e+3,3.089e+4,1.918e-60
246.203,2.986e+4,5.653e+3,2.420e+4,1.921e-60
246.204,2.750e+4,6.315e+3,2.119e+4,1.923e-60
246.206,2.359e+4,7.701e+3,1.589e+4,1.926e-60
246.208,2.069e+4,9.110e+3,1.158e+4,1.929e-60
246.209,1.959e+4,9.796e+3,9.795e+3,1.930e-60
246.211,1.796e+4,1.107e+4,6.885e+3,1.933e-60
246.213,1.690e+4,1.213e+4,4.761e+3,1.936e-60
246.214,1.651e+4,1.256e+4,3.949e+3,1.938e-60
246.216,1.589e+4,1.316e+4,2.733e+3,1.941e-60
246.218,1.533e+4,1.337e+4,1.951e+3,1.944e-60
246.219,1.502e+4,1.334e+4,1.684e+3,1.945e-60
246.221,1.431e+4,1.298e+4,1.334e+3,1.948e-60
246.223,1.345e+4,1.229e+4,1.156e+3,1.951e-60
246.224,1.296e+4,1.185e+4,1.110e+3,1.953e-60
246.226,1.193e+4,1.086e+4,1.070e+3,1.956e-60
246.228,1.091e+4,9.841e+3,1.067e+3,1.959e-60
246.229,1.044e+4,9.374e+3,1.070e+3,1.960e-60
246.231,9.718e+3,8.648e+3,1.070e+3,1.963e-60
246.233,9.434e+3,8.380e+3,1.054e+3,1.966e-60
246.234,9.528e+3,8.490e+3,1.038e+3,1.968e-60
246.236,1.034e+4,9.356e+3,9.860e+2,1.971e-60
246.238,1.222e+4,1.130e+4,9.111e+2,1.974e-60
246.239,1.363e+4,1.277e+4,8.663e+2,1.975e-60
246.241,1.761e+4,1.684e+4,7.660e+2,1.978e-60
246.243,2.330e+4,2.264e+4,6.572e+2,1.981e-60
246.244,2.684e+4,2.624e+4,6.019e+2,1.983e-60
246.246,3.540e+4,3.491e+4,4.934e+2,1.986e-60
246.248,4.588e+4,4.549e+4,3.924e+2,1.989e-60
246.249,5.180e+4,5.145e+4,3.460e+2,1.990e-60
246.251,6.473e+4,6.447e+4,2.628e+2,1.993e-60
246.253,7.868e+4,7.849e+4,1.937e+2,1.996e-60
246.254,8.581e+4,8.565e+4,1.643e+2,1.998e-60
246.256,9.983e+4,9.972e+4,1.157e+2,2.001e-60
246.258,1.127e+5,1.126e+5,7.897e+1,2.004e-60
246.259,1.184e+5,1.184e+5,6.450e+1,2.005e-60
246.261,1.278e+5,1.277e+5,4.206e+1,2.008e-60
246.263,1.337e+5,1.337e+5,2.661e+1,2.011e-60
246.264,1.353e+5,1.353e+5,2.092e+1,2.013e-60
246.266,1.353e+5,1.352e+5,1.265e+1,2.016e-60
246.268,1.312e+5,1.312e+5,7.432e+0,2.019e-60
246.269,1.277e+5,1.277e+5,5.645e+0,2.020e-60
246.271,1.183e+5,1.183e+5,3.234e+0,2.023e-60
246.273,1.063e+5,1.063e+5,1.929e+0,2.026e-60
246.274,9.967e+4,9.966e+4,1.582e+0,2.028e-60
246.276,8.556e+4,8.555e+4,1.410e+0,2.031e-60
246.278,7.124e+4,7.123e+4,1.992e+0,2.034e-60
246.279,6.426e+4,6.426e+4,2.660e+0,2.035e-60
246.281,5.112e+4,5.111e+4,5.170e+0,2.038e-60
